#          Time     Velocity X	   Velocity Y      X              Y
           0.00      7.0710683      7.0710678      0.0000000      0.0000000
           0.10      7.0710683      6.0900679      0.7071068      0.6580567
           0.20      7.0710683      5.1090679      1.4142137      1.2180135
           0.30      7.0710683      4.1280675      2.1213205      1.6798705
           0.40      7.0710683      3.1470675      2.8284273      2.0436270
           0.50      7.0710683      2.1660676      3.5355341      2.3092837
           0.60      7.0710683      1.1850672      4.2426410      2.4768410
           0.70      7.0710683      0.2040672      4.9497480      2.5462976
           0.80      7.0710683     -0.7769332      5.6568551      2.5176539
           0.90      7.0710683     -1.7579336      6.3639622      2.3909106
           1.00      7.0710683     -2.7389336      7.0710692      2.1660676
           1.10      7.0710683     -3.7199345      7.7781763      1.8431244
           1.20      7.0710683     -4.7009344      8.4852829      1.4220805
           1.30      7.0710683     -5.6819344      9.1923904      0.9029369
           1.40      7.0710683     -6.6629353      9.8994970      0.2856922
           1.44      7.0710683     -7.0710678     10.1936808      0.0000000
